example_id,page_id,language,mention_text,page_context,candidates,selected_link,outcome_class,explanation,screenshot_path
old-english_9a43a2f5-a7c5-4aa3-92a9-d1341b6d0bec,old-english,Old English,oxan,oxan,[],,suppressed_correctly,curated semantic concept for old english fixture; lexical example,artifacts/thesis_showcase/figure30/screenshots/old-english_9a43a2f5-a7c5-4aa3-92a9-d1341b6d0bec.png
old-english_eeed1d11-7e8f-4652-9491-1b99825644bc,old-english,Old English,mulissi,mulissi,[],,suppressed_correctly,curated semantic concept for old english fixture; lexical example,artifacts/thesis_showcase/figure30/screenshots/old-english_eeed1d11-7e8f-4652-9491-1b99825644bc.png
latin-abaton_c7727e61-dd15-45cb-98c6-743d8f3688ce,latin-abaton,Latin,uxore,uxore,[],,suppressed_correctly,curated semantic concept for latin fixture; social role,artifacts/thesis_showcase/figure30/screenshots/latin-abaton_c7727e61-dd15-45cb-98c6-743d8f3688ce.png
latin-abaton_1249f283-bfe0-4ca9-b860-074449376d2e,latin-abaton,Latin,Inmicos,Inmicos,[],,suppressed_correctly,curated semantic concept for latin fixture; social relation,artifacts/thesis_showcase/figure30/screenshots/latin-abaton_1249f283-bfe0-4ca9-b860-074449376d2e.png
old-french_5ddf6469-d2ee-4f50-95b7-8e106dbc96cd,old-french,Old French,nr̃e seigneur,nr̃e seigneur,[],,suppressed_correctly,curated semantic concept for french fixture; non-linkable title,artifacts/thesis_showcase/figure30/screenshots/old-french_5ddf6469-d2ee-4f50-95b7-8e106dbc96cd.png
old-french_cf517c5f-9b63-4dc2-90cd-27e61652dec5,old-french,Old French,nire faus,nire faus,[],,suppressed_correctly,curated semantic concept for french fixture; non-linkable moral action,artifacts/thesis_showcase/figure30/screenshots/old-french_cf517c5f-9b63-4dc2-90cd-27e61652dec5.png
